dir,run,type,sigma,sigma_eff,seed,truth_amp,time_sec,disc_epoch,disc_rmse,disc_amp,old_epoch,old_rmse,old_amp,final_epoch,final_rmse,final_amp,oracle_epoch,oracle_rmse,tik_oracle_rmse,tik_oracle_amp,tik_oracle_alpha,tik_disc_rmse,tik_disc_amp,tik_disc_alpha
e2,corr0.5_s0,corr,0.5000,0.4886,0,2.2753,155.5465,60.0000,0.9357,2.3098,2462.0000,1.3247,2.3111,3999,1.3166,2.2816,60,0.9357,1.3209,2.0855,0.0178,1.3487,2.1389,0.0133
e2,corr0.5_s1,corr,0.5000,0.4842,1,2.2753,155.2074,60.0000,0.9930,2.3601,2089.0000,1.2884,2.2746,3999,1.2883,2.2732,60,0.9930,1.3182,2.0789,0.0178,1.3396,2.1321,0.0133
e2,corr0.5_s2,corr,0.5000,0.4863,2,2.2753,158.7553,50.0000,0.9469,2.2234,2269.0000,1.2853,2.2761,3999,1.2921,2.3118,60,0.9351,1.3014,2.0831,0.0178,1.3179,2.1361,0.0133
e2,corr1_s0,corr,1.0000,0.9772,0,2.2753,159.1511,30.0000,1.7982,2.1196,2408.0000,2.7088,2.3881,3999,2.7060,2.3815,40,1.7875,2.0407,1.9766,0.0316,2.0407,1.9766,0.0316
e2,corr1_s1,corr,1.0000,0.9684,1,2.2753,158.5405,40.0000,1.8291,2.1250,2871.0000,2.6213,2.3471,3999,2.6262,2.3503,40,1.8291,2.0418,1.9638,0.0316,2.0418,1.9638,0.0316
e2,corr1_s2,corr,1.0000,0.9726,2,2.2753,154.8809,40.0000,2.0582,2.4960,2662.0000,2.6165,2.3573,3999,2.6157,2.3574,50,1.9864,2.0208,1.9720,0.0316,2.0208,1.9720,0.0316
e2b,corr2_s0,corr,2.0000,1.9543,0,2.2753,29.3965,13.0000,2.7994,1.9413,2562.0000,5.8429,2.7518,599,5.7541,2.7194,13,2.7994,3.0931,1.8405,0.0562,3.0931,1.8405,0.0562
e2b,corr2_s1,corr,2.0000,1.9368,1,2.2753,29.1658,13.0000,2.9363,1.8313,3627.0000,5.6784,2.6971,599,5.6461,2.6807,13,2.9363,3.1031,1.8167,0.0562,3.1031,1.8167,0.0562
e2b,corr2_s2,corr,2.0000,1.9452,2,2.2753,30.2710,17.0000,3.0400,1.9208,3021.0000,5.6694,2.7247,599,5.6692,2.7120,19,3.0195,3.0678,1.8310,0.0562,3.0678,1.8310,0.0562
e2b,corr3_s0,corr,3.0000,2.9315,0,2.2753,31.1483,12.0000,3.9860,1.9679,2725.0000,9.7076,3.4040,599,9.6102,3.3903,13,3.8430,3.8838,1.7927,0.0750,3.9928,1.6216,0.1000
e2b,corr3_s1,corr,3.0000,2.9052,1,2.2753,30.5373,13.0000,4.0036,1.6419,2140.0000,9.4560,3.3410,599,9.4320,3.3318,14,3.9716,3.8987,1.7591,0.0750,4.0283,1.5913,0.1000
e2b,corr3_s2,corr,3.0000,2.9178,2,2.2753,31.2663,9.0000,3.9738,1.6180,1435.0000,9.3649,3.3465,599,9.4094,3.3616,12,3.7021,3.8493,1.7779,0.0750,3.9702,1.6075,0.1000
e2,white0_s0,none,0.0000,0.0000,0,2.2753,154.7590,,,,2149.0000,0.1123,2.2540,3999,0.0920,2.2632,3370,0.0765,0.0400,2.2716,0.0002,0.0410,2.2727,0.0001
e2,white0_s1,none,0.0000,0.0000,1,2.2753,157.3351,,,,2199.0000,0.1300,2.2489,3999,0.1249,2.2507,3400,0.0778,0.0400,2.2716,0.0002,0.0410,2.2727,0.0001
e2,white0_s2,none,0.0000,0.0000,2,2.2753,157.2605,,,,1301.0000,0.1066,2.2764,3999,0.1265,2.2506,1820,0.0829,0.0400,2.2716,0.0002,0.0410,2.2727,0.0001
e2,white0.5_s0,white,0.5000,0.4999,0,2.2753,158.3841,100.0000,0.5913,2.2213,2641.0000,0.9459,2.2633,3999,0.9462,2.2654,100,0.5913,1.1269,2.1265,0.0133,1.2025,2.1695,0.0100
e2,white0.5_s1,white,0.5000,0.4978,1,2.2753,158.1170,120.0000,0.5940,2.2783,2029.0000,0.9213,2.2927,3999,0.9230,2.2601,120,0.5940,1.1184,2.1238,0.0133,1.1894,2.1666,0.0100
e2,white0.5_s2,white,0.5000,0.4991,2,2.2753,156.2799,60.0000,0.5699,2.2847,2477.0000,0.9315,2.2730,3999,0.9269,2.2647,60,0.5699,1.1160,2.1268,0.0133,1.1905,2.1697,0.0100
e2,white1_s0,white,1.0000,0.9998,0,2.2753,159.9344,60.0000,1.0592,2.1965,3741.0000,1.9278,2.3050,3999,1.9391,2.3202,60,1.0592,1.6826,2.0324,0.0237,1.7538,2.1034,0.0178
e2,white1_s1,white,1.0000,0.9957,1,2.2753,159.4474,60.0000,1.1355,2.3225,2520.0000,1.8935,2.3231,3999,1.8747,2.2989,60,1.1355,1.6743,2.0270,0.0237,1.7360,2.0975,0.0178
e2,white1_s2,white,1.0000,0.9982,2,2.2753,158.8093,60.0000,1.1040,2.2545,3061.0000,1.9190,2.3331,3999,1.9014,2.3087,60,1.1040,1.6649,2.0327,0.0237,1.7331,2.1035,0.0178
e2b,white2_s0,white,2.0000,1.9996,0,2.2753,28.2850,39.0000,2.2641,2.0562,3109.0000,4.2250,2.5104,599,4.2089,2.5065,17,1.8150,2.4885,1.8972,0.0422,2.5471,2.0089,0.0316
e2b,white2_s1,white,2.0000,1.9914,1,2.2753,28.6171,32.0000,2.1401,2.0860,3410.0000,4.1184,2.4904,599,4.1048,2.4834,33,2.1299,2.4863,1.8873,0.0422,2.5294,1.9978,0.0316
e2b,white2_s2,white,2.0000,1.9964,2,2.2753,29.5053,44.0000,2.4255,2.1058,,,,599,4.1312,2.4945,15,1.8819,2.4618,1.8972,0.0422,2.5148,2.0086,0.0316
e2b,white3_s0,white,3.0000,2.9994,0,2.2753,30.1950,18.0000,2.3506,2.0171,1759.0000,7.1952,2.9399,599,7.1454,2.9236,18,2.3506,3.0904,1.8258,0.0562,3.0904,1.8258,0.0562
e2b,white3_s1,white,3.0000,2.9871,1,2.2753,30.2871,18.0000,2.3560,2.0370,,,,599,6.9470,2.8818,18,2.3560,3.0927,1.8118,0.0562,3.0927,1.8118,0.0562
e2b,white3_s2,white,3.0000,2.9945,2,2.2753,30.2277,23.0000,2.7732,1.9544,2736.0000,7.0969,2.9347,599,7.0499,2.9251,13,2.4026,3.0558,1.8253,0.0562,3.0558,1.8253,0.0562
