dir,run,type,sigma,seed,eval_step,oracle_epoch,oracle_rmse,tik_disc_rmse,tik_oracle_rmse,tau,epoch,rmse_truth,fit
e2,corr0.5_s0,corr,0.5000,0,10,60,0.9357,1.3487,1.3209,0.8000,200.0000,1.2108,0.3822
e2,corr0.5_s0,corr,0.5000,0,10,60,0.9357,1.3487,1.3209,0.9000,150.0000,1.2063,0.4188
e2,corr0.5_s0,corr,0.5000,0,10,60,0.9357,1.3487,1.3209,1.0000,60.0000,0.9357,0.4527
e2,corr0.5_s0,corr,0.5000,0,10,60,0.9357,1.3487,1.3209,1.1000,50.0000,0.9484,0.5186
e2,corr0.5_s0,corr,0.5000,0,10,60,0.9357,1.3487,1.3209,1.2000,50.0000,0.9484,0.5186
e2,corr0.5_s0,corr,0.5000,0,10,60,0.9357,1.3487,1.3209,1.3000,50.0000,0.9484,0.5186
e2,corr0.5_s0,corr,0.5000,0,10,60,0.9357,1.3487,1.3209,1.5000,40.0000,1.2073,0.7259
e2,corr0.5_s1,corr,0.5000,1,10,60,0.9930,1.3396,1.3182,0.8000,230.0000,1.2536,0.3791
e2,corr0.5_s1,corr,0.5000,1,10,60,0.9930,1.3396,1.3182,0.9000,90.0000,1.0106,0.4189
e2,corr0.5_s1,corr,0.5000,1,10,60,0.9930,1.3396,1.3182,1.0000,60.0000,0.9930,0.4689
e2,corr0.5_s1,corr,0.5000,1,10,60,0.9930,1.3396,1.3182,1.1000,60.0000,0.9930,0.4689
e2,corr0.5_s1,corr,0.5000,1,10,60,0.9930,1.3396,1.3182,1.2000,60.0000,0.9930,0.4689
e2,corr0.5_s1,corr,0.5000,1,10,60,0.9930,1.3396,1.3182,1.3000,60.0000,0.9930,0.4689
e2,corr0.5_s1,corr,0.5000,1,10,60,0.9930,1.3396,1.3182,1.5000,50.0000,1.2566,0.6663
e2,corr0.5_s2,corr,0.5000,2,10,60,0.9351,1.3179,1.3014,0.8000,130.0000,1.1482,0.3890
e2,corr0.5_s2,corr,0.5000,2,10,60,0.9351,1.3179,1.3014,0.9000,60.0000,0.9351,0.4080
e2,corr0.5_s2,corr,0.5000,2,10,60,0.9351,1.3179,1.3014,1.0000,50.0000,0.9469,0.4532
e2,corr0.5_s2,corr,0.5000,2,10,60,0.9351,1.3179,1.3014,1.1000,50.0000,0.9469,0.4532
e2,corr0.5_s2,corr,0.5000,2,10,60,0.9351,1.3179,1.3014,1.2000,50.0000,0.9469,0.4532
e2,corr0.5_s2,corr,0.5000,2,10,60,0.9351,1.3179,1.3014,1.3000,50.0000,0.9469,0.4532
e2,corr0.5_s2,corr,0.5000,2,10,60,0.9351,1.3179,1.3014,1.5000,50.0000,0.9469,0.4532
e2,corr1_s0,corr,1.0000,0,10,40,1.7875,2.0407,2.0407,0.8000,110.0000,2.4897,0.7745
e2,corr1_s0,corr,1.0000,0,10,40,1.7875,2.0407,2.0407,0.9000,40.0000,1.7875,0.8190
e2,corr1_s0,corr,1.0000,0,10,40,1.7875,2.0407,2.0407,1.0000,30.0000,1.7982,0.9355
e2,corr1_s0,corr,1.0000,0,10,40,1.7875,2.0407,2.0407,1.1000,30.0000,1.7982,0.9355
e2,corr1_s0,corr,1.0000,0,10,40,1.7875,2.0407,2.0407,1.2000,30.0000,1.7982,0.9355
e2,corr1_s0,corr,1.0000,0,10,40,1.7875,2.0407,2.0407,1.3000,30.0000,1.7982,0.9355
e2,corr1_s0,corr,1.0000,0,10,40,1.7875,2.0407,2.0407,1.5000,10.0000,2.9758,1.4340
e2,corr1_s1,corr,1.0000,1,10,40,1.8291,2.0418,2.0418,0.8000,110.0000,2.3662,0.7737
e2,corr1_s1,corr,1.0000,1,10,40,1.8291,2.0418,2.0418,0.9000,40.0000,1.8291,0.8618
e2,corr1_s1,corr,1.0000,1,10,40,1.8291,2.0418,2.0418,1.0000,40.0000,1.8291,0.8618
e2,corr1_s1,corr,1.0000,1,10,40,1.8291,2.0418,2.0418,1.1000,40.0000,1.8291,0.8618
e2,corr1_s1,corr,1.0000,1,10,40,1.8291,2.0418,2.0418,1.2000,40.0000,1.8291,0.8618
e2,corr1_s1,corr,1.0000,1,10,40,1.8291,2.0418,2.0418,1.3000,40.0000,1.8291,0.8618
e2,corr1_s1,corr,1.0000,1,10,40,1.8291,2.0418,2.0418,1.5000,10.0000,2.6876,1.2838
e2,corr1_s2,corr,1.0000,2,10,50,1.9864,2.0208,2.0208,0.8000,210.0000,2.6563,0.7598
e2,corr1_s2,corr,1.0000,2,10,50,1.9864,2.0208,2.0208,0.9000,50.0000,1.9864,0.8095
