run,type,sigma,sigma_eff,seed,truth_amp,time_sec,disc_epoch,disc_rmse,disc_amp,old_epoch,old_rmse,old_amp,final_epoch,final_rmse,final_amp,oracle_epoch,oracle_rmse,tik_oracle_rmse,tik_oracle_amp,tik_oracle_alpha,tik_disc_rmse,tik_disc_amp,tik_disc_alpha
corr2_s0,corr,2.0000,1.9543,0,2.2753,29.3965,13,2.7994,1.9413,,,,599,5.7541,2.7194,13,2.7994,3.0931,1.8405,0.0562,3.0931,1.8405,0.0562
corr2_s1,corr,2.0000,1.9368,1,2.2753,29.1658,13,2.9363,1.8313,,,,599,5.6461,2.6807,13,2.9363,3.1031,1.8167,0.0562,3.1031,1.8167,0.0562
corr2_s2,corr,2.0000,1.9452,2,2.2753,30.2710,17,3.0400,1.9208,,,,599,5.6692,2.7120,19,3.0195,3.0678,1.8310,0.0562,3.0678,1.8310,0.0562
corr3_s0,corr,3.0000,2.9315,0,2.2753,31.1483,12,3.9860,1.9679,,,,599,9.6102,3.3903,13,3.8430,3.8838,1.7927,0.0750,3.9928,1.6216,0.1000
corr3_s1,corr,3.0000,2.9052,1,2.2753,30.5373,13,4.0036,1.6419,,,,599,9.4320,3.3318,14,3.9716,3.8987,1.7591,0.0750,4.0283,1.5913,0.1000
corr3_s2,corr,3.0000,2.9178,2,2.2753,31.2663,9,3.9738,1.6180,,,,599,9.4094,3.3616,12,3.7021,3.8493,1.7779,0.0750,3.9702,1.6075,0.1000
white2_s0,white,2.0000,1.9996,0,2.2753,28.2850,39,2.2641,2.0562,,,,599,4.2089,2.5065,17,1.8150,2.4885,1.8972,0.0422,2.5471,2.0089,0.0316
white2_s1,white,2.0000,1.9914,1,2.2753,28.6171,32,2.1401,2.0860,,,,599,4.1048,2.4834,33,2.1299,2.4863,1.8873,0.0422,2.5294,1.9978,0.0316
white2_s2,white,2.0000,1.9964,2,2.2753,29.5053,44,2.4255,2.1058,,,,599,4.1312,2.4945,15,1.8819,2.4618,1.8972,0.0422,2.5148,2.0086,0.0316
white3_s0,white,3.0000,2.9994,0,2.2753,30.1950,18,2.3506,2.0171,,,,599,7.1454,2.9236,18,2.3506,3.0904,1.8258,0.0562,3.0904,1.8258,0.0562
white3_s1,white,3.0000,2.9871,1,2.2753,30.2871,18,2.3560,2.0370,,,,599,6.9470,2.8818,18,2.3560,3.0927,1.8118,0.0562,3.0927,1.8118,0.0562
white3_s2,white,3.0000,2.9945,2,2.2753,30.2277,23,2.7732,1.9544,,,,599,7.0499,2.9251,13,2.4026,3.0558,1.8253,0.0562,3.0558,1.8253,0.0562
