Epoch,Total,L_phy,rmse_fit,rmse_holdout,rmse_truth
0.0,17.11729621887207,17.116657257080078,4.274841774112465,,8.59051196470201
1.0,9.727002143859863,9.719827651977539,4.1407946236410735,,8.279856514736734
2.0,6.1826958656311035,6.158213138580322,3.946185119594114,,7.789032994119155
3.0,5.859884262084961,5.826262950897217,3.624723287746587,,7.03625712712184
4.0,4.719076633453369,4.6775712966918945,3.2746875923782284,,6.112143898968505
5.0,5.056574821472168,5.00901985168457,2.923974451104918,,5.184852242054364
6.0,4.6036882400512695,4.552271842956543,2.6811175297144936,,4.419409206211986
7.0,4.752455234527588,4.699330806732178,2.464294879104496,,3.640419145623207
8.0,4.778315544128418,4.724009037017822,2.215788113530425,,2.8416139080089624
9.0,4.440775394439697,4.38496208190918,2.377084377602307,,2.658982070625894
10.0,4.620055675506592,4.56427001953125,2.4782291483525487,,2.6297532154838787
11.0,4.788520812988281,4.733242988586426,2.2752867471765605,,2.346685102241826
12.0,4.577370643615723,4.522219181060791,2.0911757865499765,,2.092629004122394
13.0,4.283686637878418,4.2286834716796875,2.5844876586809975,,2.6194256182140387
14.0,4.436776161193848,4.38209867477417,2.6528795403704786,,2.6396936248142038
15.0,4.426651477813721,4.371008396148682,2.0621149667113876,,1.88190894643861
16.0,4.2054948806762695,4.148553371429443,3.7696845536092374,,3.809102142723495
17.0,4.2889180183410645,4.230920314788818,3.454102198122759,,3.426071862669247
18.0,4.145517349243164,4.086379528045654,2.0800367941275955,,1.8931444101298838
19.0,4.146839141845703,4.086610317230225,2.082011113639533,,2.011654296866689
20.0,4.168339729309082,4.107426166534424,2.457103893587458,,2.5283995218653725
21.0,4.031771183013916,3.9698922634124756,3.4831442594751225,,3.66573275608094
22.0,4.043696403503418,3.980264186859131,3.057685578463,,3.1435670065182504
23.0,3.9820151329040527,3.9161064624786377,2.1611185291805546,,2.1080056913736844
24.0,3.922738790512085,3.8541641235351562,2.082683308054539,,2.1108680012555987
25.0,3.90725040435791,3.8363864421844482,2.2225625228731656,,2.3844470427280777
26.0,3.853943347930908,3.7807390689849854,2.4141095815571285,,2.7340741516224387
27.0,3.8617818355560303,3.785970449447632,2.2023917194189075,,2.568499479288671
28.0,3.8275022506713867,3.7488958835601807,2.1354850301853814,,2.3339131772070596
29.0,3.826838970184326,3.7448930740356445,2.0396368572646457,,2.194302987036666
30.0,3.811476469039917,3.726699113845825,2.0574617116625364,,2.267062874203994
31.0,3.78847336769104,3.7022438049316406,2.2030911549947647,,2.7975764468045656
32.0,3.796313762664795,3.7086925506591797,2.3270558032027995,,3.081706068374045
33.0,3.784083366394043,3.6940972805023193,2.2814120250952614,,3.1119889813136163
34.0,3.7817752361297607,3.6896796226501465,2.2156231560098507,,2.8972097567100685
35.0,3.758948802947998,3.6657936573028564,2.164217641860624,,2.6913211448332617
36.0,3.741466522216797,3.647915840148926,2.1777864591097824,,2.8829513820974877
37.0,3.793339252471924,3.6983048915863037,2.2327422320499117,,3.071000049509267
38.0,3.7607686519622803,3.6640138626098633,2.497017562462747,,3.324788296350477
39.0,3.8030333518981934,3.7048850059509277,2.333474830483441,,3.1151532628350522
40.0,3.7693381309509277,3.670215129852295,2.121241547618021,,2.8023940102845004
41.0,3.8135128021240234,3.713796615600586,2.045230499136663,,2.591737698488611
42.0,3.800175428390503,3.699707269668579,2.088195314592043,,2.5284996813473173
43.0,3.7246484756469727,3.62321400642395,2.155218246916604,,2.5696349515808845
44.0,3.732211112976074,3.630091667175293,1.9625588842699773,,2.42548234589174
45.0,3.709937810897827,3.6072580814361572,2.0233472446460867,,2.5532130727570324
46.0,3.6974518299102783,3.5937116146087646,1.9959694825705256,,2.6250960987516594
47.0,3.719295024871826,3.6144144535064697,2.0148421387023,,2.665848688353315
48.0,3.702143907546997,3.5961074829101562,2.0556773067179708,,2.6513806059394076
49.0,3.7118167877197266,3.6047918796539307,1.918115276164419,,2.528193288535607
50.0,3.701235771179199,3.5931830406188965,1.9023600267930223,,2.514900687477551
51.0,3.683335065841675,3.5739479064941406,2.1021867060305524,,2.7340185938600943
52.0,3.7425057888031006,3.6313767433166504,1.9988282237660953,,2.7036544686069126
53.0,3.7104077339172363,3.597883939743042,1.9942319202088419,,2.74716998765034
54.0,3.726813554763794,3.613548755645752,1.9611336314552286,,2.736155886285362
55.0,3.7189555168151855,3.604996681213379,1.9867551511821389,,2.758155488852853
56.0,3.7016096115112305,3.586848497390747,1.9645150418732418,,2.763125896527973
57.0,3.6978583335876465,3.5823562145233154,1.9206546911070657,,2.755061964206023
58.0,3.690403461456299,3.574143171310425,1.8949305599009312,,2.7684781944703856
59.0,3.678703546524048,3.5614004135131836,2.002977316374154,,2.882263205133932
60.0,3.7143948078155518,3.5960254669189453,1.9567494368726643,,2.8630605319951226
61.0,3.703399181365967,3.584249973297119,1.934148942703895,,2.8586417416550494
62.0,3.688769578933716,3.56919002532959,1.921143738294285,,2.8616141186839994
63.0,3.685697078704834,3.5657243728637695,1.9406549060756586,,2.8915384762109313
64.0,3.6839263439178467,3.5634512901306152,1.9181441382134976,,2.8899278011731533
65.0,3.6748828887939453,3.5539357662200928,1.9287815181565198,,2.9251465870302282
66.0,3.687937021255493,3.5664613246917725,1.90149870633805,,2.931020695986756
67.0,3.6788411140441895,3.556553602218628,1.9537685500291766,,2.9896617303808304
68.0,3.684558868408203,3.561358690261841,1.9243045404110164,,2.990144180671275
69.0,3.6795878410339355,3.5557684898376465,1.9250082450440953,,3.0000643234161215
70.0,3.677485704421997,3.5533764362335205,1.913620369488149,,2.997365060634283
71.0,3.672800064086914,3.5483665466308594,1.9117362870811916,,3.0035551553895687
72.0,3.6686155796051025,3.5436930656433105,1.8870340538691093,,2.9960279890507713
73.0,3.65925931930542,3.533787488937378,1.9604977537998332,,3.0707983216968207
