grid_n,noise,seed,time_sec,epochs,sigma_eff,disc_epoch,disc_rmse,disc_amp,disc_fit,oracle_epoch,oracle_rmse,final_rmse,final_amp,final_fit,tik_disc_rmse,tik_disc_amp,tik_or_rmse,truth_amp,psd_ratio,is_none,is_fixed,is_psd
301,0.0000,0,55.3435,1500,0.0000,,,,,1395,0.0809,0.1260,2.2545,0.0538,0.0410,2.2727,0.0400,2.2753,0.0000,True,False,False
301,1.0000,0,57.6133,1500,0.9998,55.0000,1.0822,2.1889,0.9831,60,1.0592,1.9387,2.3258,0.9178,1.7538,2.1034,1.6826,2.2753,1.0000,False,True,True
301,1.0000,1,57.9310,1500,0.9957,45.0000,1.0736,2.2257,0.9920,45,1.0736,1.8777,2.3093,0.9182,1.7360,2.0975,1.6743,2.2753,1.0000,False,True,True
301,1.0000,2,57.9320,1500,0.9982,60.0000,1.1040,2.2545,0.9823,60,1.1040,1.9092,2.3175,0.9183,1.7331,2.1035,1.6649,2.2753,1.0000,False,True,True
601,0.0000,0,246.6778,1500,0.0000,,,,,1485,0.1162,0.1225,2.2513,0.0402,0.0932,2.2611,0.0932,2.2636,0.0000,True,False,False
601,0.5000,0,95.8599,600,0.5001,225.0000,0.4208,2.2349,0.4993,220,0.4101,0.6639,2.2855,0.4940,0.8130,2.2025,0.7187,2.2636,0.2500,False,False,False
601,0.5000,1,95.8018,600,0.4994,185.0000,0.4072,2.2773,0.4982,110,0.3987,0.6509,2.2341,0.4953,0.8224,2.2021,0.7246,2.2636,0.2500,False,False,False
601,0.5000,2,95.9856,600,0.5000,250.0000,0.4243,2.2889,0.4979,125,0.4168,0.6814,2.3021,0.5051,0.8191,2.2026,0.7224,2.2636,0.2500,False,False,False
601,1.0000,0,248.3249,1500,1.0002,135.0000,0.6878,2.2440,0.9971,135,0.6878,1.6350,2.2971,0.9752,1.1765,2.1620,1.0923,2.2636,0.5000,False,True,False
601,1.0000,1,248.3340,1500,0.9989,150.0000,0.6831,2.3073,0.9984,95,0.6328,1.6628,2.3194,0.9751,1.1895,2.1613,1.1026,2.2636,0.5000,False,True,False
601,1.0000,2,248.4529,1500,1.0000,110.0000,0.7285,2.2090,0.9948,110,0.7285,1.6523,2.3015,0.9750,1.1851,2.1622,1.0989,2.2636,0.5000,False,True,False
601,2.0000,0,124.8104,600,2.0004,89.0000,1.1600,2.2522,1.9985,93,1.0751,3.0741,2.4028,1.9533,1.7068,2.0993,1.6206,2.2636,1.0000,False,False,True
601,2.0000,1,124.9903,600,1.9977,79.0000,1.1753,2.1533,1.9911,97,1.1251,3.0049,2.4579,1.9584,1.7240,2.0980,1.6342,2.2636,1.0000,False,False,True
601,2.0000,2,125.0339,600,2.0000,81.0000,1.7097,2.4446,1.9909,57,1.4649,3.3278,2.4486,1.9503,1.7180,2.0997,1.6285,2.2636,1.0000,False,False,True
901,0.0000,0,578.8600,1500,0.0000,,,,,1325,0.1256,0.1380,2.2520,0.0585,0.0832,2.2582,0.0832,2.2606,0.0000,True,False,False
901,0.3333,0,226.3240,600,0.3334,,,,,330,0.2451,0.4015,2.1972,0.3666,0.5819,2.2352,0.4395,2.2606,0.1111,False,False,False
901,0.3333,1,223.1923,600,0.3328,,,,,295,0.2360,0.2753,2.2450,0.3350,0.5831,2.2352,0.4402,2.2606,0.1111,False,False,False
901,0.3333,2,224.8646,600,0.3332,,,,,345,0.2386,0.2894,2.2421,0.3370,0.5849,2.2349,0.4410,2.2606,0.1111,False,False,False
901,1.0000,0,575.2316,1500,1.0003,215.0000,0.4539,2.2277,0.9984,225,0.4516,1.3601,2.2897,0.9900,0.9296,2.1814,0.8522,2.2606,0.3333,False,True,False
901,1.0000,1,572.2467,1500,0.9986,225.0000,0.4427,2.2404,0.9960,225,0.4427,1.3291,2.2843,0.9870,0.9316,2.1811,0.8545,2.2606,0.3333,False,True,False
901,1.0000,2,572.7013,1500,0.9998,195.0000,0.5067,2.2778,0.9992,130,0.4506,1.4490,2.3169,1.0263,0.9324,2.1802,0.8552,2.2606,0.3333,False,True,False
901,3.0000,0,291.6702,600,3.0009,110.0000,1.1710,2.2324,2.9900,155,1.1642,3.6281,2.5280,3.0059,1.7045,2.0998,1.6108,2.2606,1.0000,False,False,True
901,3.0000,1,301.1769,600,2.9957,75.0000,1.2958,2.2099,2.9943,117,1.2245,3.3627,2.4108,2.9655,1.7114,2.0994,1.6175,2.2606,1.0000,False,False,True
901,3.0000,2,294.2485,600,2.9994,83.0000,1.2542,2.2507,2.9891,101,1.2376,3.7098,2.5224,2.9738,1.7089,2.0964,1.6163,2.2606,1.0000,False,False,True
1201,0.0000,0,5918.3683,1500,0.0000,,,,,1465,0.1406,0.1552,2.2439,0.0614,0.1157,2.2567,0.0878,2.2590,0.0000,True,False,False
1201,1.0000,0,5904.4767,1500,0.9997,200.0000,0.3757,2.2744,0.9987,220,0.3658,0.9166,2.2669,0.9978,0.8097,2.1988,0.7082,2.2590,0.2500,False,True,False
1201,1.0000,1,5935.0511,1500,0.9991,205.0000,0.3825,2.2439,0.9986,225,0.3776,0.9311,2.2877,0.9950,0.8145,2.1984,0.7119,2.2590,0.2500,False,True,False
1201,1.0000,2,23002.4109,1500,1.0000,180.0000,0.3987,2.2746,0.9999,185,0.3909,1.1454,2.2786,0.9936,0.8134,2.1986,0.7100,2.2590,0.2500,False,True,False
1201,4.0000,0,1417.6442,300,3.9988,102.0000,1.3564,2.2580,3.9958,101,1.3558,1.7682,2.4052,3.9897,1.6973,2.0970,1.6037,2.2590,1.0000,False,False,True
